Element;Sect;Col;Seism;GroupRSU;Crit;N;Mk;My;Qz;Mz;Qy;Loads
5;1;2;-;A1;1;-13.348944;-0.090768;2.888533;-0.307291;-0.199273;-0.06287;1 3 8 9 10
5;1;2;-;A1;2;-19.977394;-0.153017;1.233823;-0.131258;-0.347919;-0.108568;1 2 6 8
5;1;2;-;A1;3;-13.348944;-0.090768;2.888533;-0.307291;-0.199273;-0.06287;1 4 8 9 10
5;1;1;-;A1;7;-13.336421;-0.090696;1.741039;-0.185217;-0.200465;-0.063004;1 6 8
5;1;2;-;A1;8;-19.989918;-0.15309;2.381317;-0.253332;-0.346727;-0.108434;1 2 4 8 9 10
5;1;1;-;A1;9;-13.336421;-0.090696;1.741039;-0.185217;-0.200465;-0.063004;1 3 8
5;1;2;-;A1;24;-19.977394;-0.153017;1.233823;-0.131258;-0.347919;-0.108568;1 2 4 8
5;1;1;-;A1;25;-13.336421;-0.090696;1.741039;-0.185217;-0.200465;-0.063004;1 4 8
5;1;2;-;A1;26;-19.989918;-0.15309;2.381317;-0.253332;-0.346727;-0.108434;1 2 3 8 9 10
5;2;1;-;A1;1;-7.132421;-0.090696;0;-0.185217;0.391768;-0.063004;1 4 8
5;2;2;-;A1;2;-13.785915;-0.15309;0;-0.253332;0.672555;-0.108434;1 2 3 8 9 10
5;2;2;-;A1;4;-13.785915;-0.15309;0;-0.253332;0.672555;-0.108434;1 2 4 8 9 10
5;2;1;-;A1;9;-7.132421;-0.090696;0;-0.185217;0.391768;-0.063004;1 3 8
5;2;2;-;A1;15;-13.773393;-0.153017;0;-0.131258;0.67262;-0.108568;1 2 4 8
5;2;2;-;A1;16;-7.144943;-0.090768;0;-0.307291;0.391702;-0.06287;1 3 8 9 10
5;2;2;-;A1;34;-7.144943;-0.090768;0;-0.307291;0.391702;-0.06287;1 6 8 9 10
5;2;2;-;A1;41;-13.773393;-0.153017;0;-0.131258;0.67262;-0.108568;1 2 3 8
272;1;2;-;A1;1;-8.267458;-0.0044;-0.452377;0.382878;-0.955502;-0.614847;1 5 7 8
272;1;2;-;A1;2;-10.125849;-0.015281;-0.319827;0.428585;-1.330388;-0.87171;1 2 3 8 9 10 11
272;1;2;-;A1;3;-10.125849;-0.015281;-0.319827;0.428585;-1.330388;-0.87171;1 2 5 8 9 10 11
272;1;2;-;A1;4;-8.267458;-0.0044;-0.452377;0.382878;-0.955502;-0.614847;1 3 7 8
272;1;2;-;A1;5;-9.698187;-0.009113;-0.363025;0.43117;-1.293802;-0.849669;1 3 8 9 10 11
272;1;2;-;A1;6;-8.69512;-0.010569;-0.40918;0.380293;-0.992089;-0.636888;1 2 5 7 8
272;1;2;-;A1;12;-9.698187;-0.009113;-0.363025;0.43117;-1.293802;-0.849669;1 4 7 8 9 10 11
272;1;2;-;A1;13;-9.698187;-0.009113;-0.363025;0.43117;-1.293802;-0.849669;1 3 7 8 9 10 11
272;1;2;-;A1;14;-8.69512;-0.010569;-0.40918;0.380293;-0.992089;-0.636888;1 2 5 8
272;1;2;-;A1;15;-10.125733;-0.01531;-0.319522;0.428462;-1.329458;-0.871312;1 2 3 8 9 10
272;1;2;-;A1;16;-8.267573;-0.004372;-0.452683;0.383001;-0.956433;-0.615244;1 5 7 8 11
272;1;2;-;A1;21;-8.267573;-0.004372;-0.452683;0.383001;-0.956433;-0.615244;1 3 7 8 11
272;1;2;-;A1;22;-10.125733;-0.01531;-0.319522;0.428462;-1.329458;-0.871312;1 2 5 8 9 10
272;1;1;-;A1;28;-8.267458;-0.0044;-0.452377;0.382878;-0.955502;-0.614847;1 5 8
272;1;1;-;A1;29;-8.267458;-0.0044;-0.452377;0.382878;-0.955502;-0.614847;1 3 8
272;1;2;-;A1;30;-10.125849;-0.015281;-0.319827;0.428585;-1.330388;-0.87171;1 2 6 8 9 10 11
272;1;1;-;A1;34;-8.69512;-0.010569;-0.40918;0.380293;-0.992089;-0.636888;1 2 8
272;2;2;-;A1;1;-8.27785;-0.015281;1.48023;0.428585;2.330793;-0.87171;1 2 3 8 9 10 11
272;2;2;-;A1;3;-6.419458;-0.0044;1.155712;0.382878;1.626853;-0.614847;1 4 7 8
272;2;2;-;A1;7;-7.850188;-0.009113;1.447889;0.43117;2.274806;-0.849669;1 5 8 9 10 11
272;2;2;-;A1;8;-6.84712;-0.010569;1.188053;0.380293;1.682839;-0.636888;1 2 4 7 8
272;2;2;-;A1;10;-8.27785;-0.015281;1.48023;0.428585;2.330793;-0.87171;1 2 5 8 9 10 11
272;2;2;-;A1;11;-6.84712;-0.010569;1.188053;0.380293;1.682839;-0.636888;1 2 5 8
