Element;Sect;Col;Seism;GroupRSU;Crit;N;Mk;My;Qz;Mz;Qy;Loads
5;1;2;-;A1;1;-13.142761;0.216896;16.027016;-3.489789;7.403702;0.793009;1 3 8 9 10
5;1;2;-;A1;2;-22.85071;-0.163255;-12.572099;3.061859;-0.395203;-0.126355;1 2 6 8
5;1;2;-;A1;3;-13.516932;-0.403599;19.847332;-3.896206;-7.756097;-0.913526;1 4 8 9 10
5;1;1;-;A1;7;-13.363606;-0.074224;-11.847505;2.984775;-0.184555;-0.061263;1 6 8
5;1;2;-;A1;8;-23.004036;-0.49263;19.122738;-3.819121;-7.966745;-0.978619;1 2 4 8 9 10
5;1;1;-;A1;9;-13.118614;0.217036;13.814352;-3.254399;7.401404;0.792751;1 3 8
5;1;2;-;A1;24;-22.979889;-0.492491;16.910074;-3.583731;-7.969043;-0.978876;1 2 4 8
5;1;1;-;A1;25;-13.492785;-0.40346;17.634668;-3.660816;-7.758395;-0.913784;1 4 8
5;1;2;-;A1;26;-22.629866;0.127865;15.302421;-3.412704;7.193054;0.727917;1 2 3 8 9 10
5;2;1;-;A1;1;-7.288785;-0.40346;0;-0.091241;0.831178;-0.913784;1 4 8
5;2;2;-;A1;2;-16.425865;0.127865;0;0.15687;0.350634;0.727917;1 2 3 8 9 10
5;2;2;-;A1;4;-16.800035;-0.49263;0;-0.249546;1.232269;-0.978619;1 2 4 8 9 10
5;2;1;-;A1;9;-6.914614;0.217036;0;0.315175;-0.050457;0.792751;1 3 8
5;2;2;-;A1;15;-16.775888;-0.492491;0;-0.014157;1.232395;-0.978876;1 2 4 8
5;2;2;-;A1;16;-6.938761;0.216896;0;0.079786;-0.050583;0.793009;1 3 8 9 10
5;2;2;-;A1;34;-7.183753;-0.074364;0;-0.699419;0.391188;-0.061005;1 6 8 9 10
5;2;2;-;A1;41;-16.401718;0.128005;0;0.39226;0.350761;0.727659;1 2 3 8
272;1;2;-;A1;1;-7.075311;-0.102956;3.041347;-1.004634;-1.417151;-1.127412;1 5 7 8
272;1;2;-;A1;2;-12.844775;0.074882;-3.796252;1.886637;-1.367681;-0.943279;1 2 3 8 9 10 11
272;1;2;-;A1;3;-10.455087;-0.127036;3.280034;-0.92079;-2.204072;-1.640773;1 2 5 8 9 10 11
272;1;2;-;A1;4;-9.464998;0.098962;-4.03494;1.802794;-0.58076;-0.429917;1 3 7 8
272;1;2;-;A1;5;-12.233829;0.083694;-3.857963;1.89033;-1.315414;-0.911791;1 3 8 9 10 11
272;1;2;-;A1;6;-7.686256;-0.111768;3.103057;-1.008327;-1.469417;-1.158899;1 2 5 7 8
272;1;2;-;A1;12;-12.129536;0.081664;-3.698575;1.765092;-1.351627;-1.030659;1 4 7 8 9 10 11
272;1;2;-;A1;13;-12.223595;0.089868;-3.862681;1.89603;-1.233636;-0.882971;1 3 7 8 9 10 11
272;1;2;-;A1;14;-7.696491;-0.117941;3.107775;-1.014027;-1.551195;-1.18772;1 2 5 8
272;1;2;-;A1;15;-12.844445;0.074801;-3.795378;1.886286;-1.365022;-0.942142;1 2 3 8 9 10
272;1;2;-;A1;16;-7.075641;-0.102875;3.040473;-1.004283;-1.41981;-1.128548;1 5 7 8 11
272;1;2;-;A1;21;-9.465328;0.099044;-4.035814;1.803145;-0.58342;-0.431053;1 3 7 8 11
272;1;2;-;A1;22;-10.454757;-0.127117;3.280908;-0.921142;-2.201412;-1.639637;1 2 5 8 9 10
