Element;Sect;Col;Seism;GroupRSU;Crit;N;Mk;My;Qz;Mz;Qy;Loads
5;1;1;-;A2;1;-12.128837;-0.082479;2.024256;-0.215346;-0.181782;-0.057224;1 8 10
5;1;1;-;A2;15;-12.124019;-0.082451;1.582763;-0.168379;-0.182241;-0.057276;1 8
5;1;2;-;B2;1;-12.134052;-0.082509;2.502217;-0.266193;-0.181286;-0.057169;1 8 9 10
5;1;1;-;B2;2;-16.867571;-0.126966;1.220466;-0.129837;-0.287565;-0.089822;1 2 8
5;1;2;-;B2;8;-16.877605;-0.127024;2.13992;-0.227651;-0.28661;-0.089715;1 2 8 9 10
5;2;1;-;A2;2;-6.488836;-0.082479;0;-0.215346;0.356127;-0.057224;1 8 10
5;2;1;-;A2;15;-6.484018;-0.082451;0;-0.168379;0.356153;-0.057276;1 8
5;2;2;-;B2;2;-11.237603;-0.127024;0;-0.227651;0.556709;-0.089715;1 2 8 9 10
5;2;1;-;B2;15;-11.22757;-0.126966;0;-0.129837;0.556761;-0.089822;1 2 8
5;2;2;-;B2;34;-6.494052;-0.082509;0;-0.266193;0.3561;-0.057169;1 8 9 10
272;1;1;-;A2;2;-8.060968;-0.006148;-0.348441;0.354685;-0.99216;-0.646259;1 8 10
272;1;1;-;A2;4;-7.510411;-0.004338;-0.382833;0.336154;-0.862227;-0.556019;1 8
272;1;2;-;B2;2;-8.962278;-0.012521;-0.280384;0.373006;-1.159449;-0.759927;1 2 8 9 10 11
272;1;1;-;B2;4;-7.510411;-0.004338;-0.382833;0.336154;-0.862227;-0.556019;1 8
272;1;2;-;B2;5;-8.656806;-0.008115;-0.311239;0.374853;-1.133316;-0.744184;1 8 9 10 11
272;1;2;-;B2;15;-8.962182;-0.012544;-0.280129;0.372904;-1.158674;-0.759596;1 2 8 9 10
272;1;1;-;B2;40;-7.510507;-0.004315;-0.383088;0.336256;-0.863003;-0.55635;1 8 11
272;2;1;-;A2;1;-6.380968;-0.006148;1.141237;0.354685;1.722129;-0.646259;1 8 10
272;2;2;-;B2;1;-7.282279;-0.012521;1.286243;0.373006;2.032246;-0.759927;1 2 8 9 10 11
272;2;2;-;B2;7;-6.976806;-0.008115;1.263142;0.374853;1.992256;-0.744184;1 8 9 10 11
272;2;2;-;B2;15;-7.282183;-0.012544;1.286067;0.372904;2.03163;-0.759596;1 2 8 9 10
416;1;1;-;A2;2;-61.250671;0.002128;-1.594435;1.891748;0.075541;0.11698;1 8 10
416;1;1;-;A2;27;-55.675613;0.001783;-1.428168;1.691223;0.067305;0.104632;1 8
