Element;Sect;Col;Seism;GroupRSU;Crit;N;Mk;My;Qz;Mz;Qy;Loads
5;1;1;-;A2;1;-12.128837;-0.082479;2.024256;-0.215346;-0.181782;-0.057224;1 8 10
5;1;1;-;A2;15;-12.124019;-0.082451;1.582763;-0.168379;-0.182241;-0.057276;1 8
5;1;2;-;B2;1;-12.14374;-0.082565;3.389857;-0.360623;-0.180364;-0.057065;1 8 9 10
5;1;1;-;B2;2;-18.90052;-0.146044;1.065196;-0.113319;-0.332704;-0.10377;1 2 8
5;1;2;-;B2;8;-18.92024;-0.146158;2.87229;-0.305563;-0.330827;-0.10356;1 2 8 9 10
5;2;1;-;A2;2;-6.488836;-0.082479;0;-0.215346;0.356127;-0.057224;1 8 10
5;2;1;-;A2;15;-6.484018;-0.082451;0;-0.168379;0.356153;-0.057276;1 8
5;2;2;-;B2;2;-13.280242;-0.146158;0;-0.305563;0.642633;-0.10356;1 2 8 9 10
5;2;1;-;B2;15;-13.260521;-0.146044;0;-0.113319;0.642737;-0.10377;1 2 8
5;2;2;-;B2;34;-6.503739;-0.082565;0;-0.360623;0.356049;-0.057065;1 8 9 10
272;1;1;-;A2;2;-8.060968;-0.006148;-0.348441;0.354685;-0.99216;-0.646259;1 8 10
272;1;1;-;A2;4;-7.510411;-0.004338;-0.382833;0.336154;-0.862227;-0.556019;1 8
272;1;2;-;B2;2;-10.199751;-0.018061;-0.198071;0.409669;-1.432797;-0.948534;1 2 8 9 10 11
272;1;1;-;B2;4;-7.510411;-0.004338;-0.382833;0.336154;-0.862227;-0.556019;1 8
272;1;2;-;B2;5;-9.763361;-0.011767;-0.24215;0.412307;-1.395463;-0.926043;1 8 9 10 11
272;1;2;-;B2;15;-10.199476;-0.018129;-0.197343;0.409376;-1.430581;-0.947587;1 2 8 9 10
272;1;1;-;B2;40;-7.510686;-0.004271;-0.383561;0.336447;-0.864443;-0.556966;1 8 11
272;2;1;-;A2;1;-6.380968;-0.006148;1.141237;0.354685;1.722129;-0.646259;1 8 10
272;2;2;-;B2;1;-8.519752;-0.018061;1.52254;0.409669;2.551048;-0.948534;1 2 8 9 10 11
272;2;2;-;B2;7;-8.083362;-0.011767;1.489539;0.412307;2.493919;-0.926043;1 8 9 10 11
272;2;2;-;B2;15;-8.519477;-0.018129;1.522038;0.409376;2.549287;-0.947587;1 2 8 9 10
416;1;1;-;A2;2;-61.250671;0.002128;-1.594435;1.891748;0.075541;0.11698;1 8 10
416;1;1;-;A2;27;-55.675613;0.001783;-1.428168;1.691223;0.067305;0.104632;1 8
