ε;σ;σ_MPa;Action;Vlaga;Type;Class;Color;Text
-0.00015;-504;-0.504;C;1;1;10;2;
-0.0001;-504;-0.504;C;1;1;10;2;
-0.0000159;-302;-0.302;C;1;1;10;2;
0;0;0;C;1;1;10;1;
0.000171;3240;3.24;C;1;1;10;1;
0.002;5400;5.4;C;1;1;10;1;
0.0035;5400;5.4;C;1;1;10;1;
-0.00036;-454;-0.454;CL;1;1;10;2;
-0.00028;-454;-0.454;CL;1;1;10;2;
-0.0000945;-272;-0.272;CL;1;1;10;2;
0;0;0;CL;1;1;10;3;
0.00101;2920;2.92;CL;1;1;10;3;
0.004;4860;4.86;CL;1;1;10;3;
0.0056;4860;4.86;CL;1;1;10;3;
-0.00015;-850;-0.85;N;1;1;10;2;
-0.0001;-850;-0.85;N;1;1;10;2;
-0.0000268;-510;-0.51;N;1;1;10;2;
0;0;0;N;1;1;10;4;
0.000237;4500;4.5;N;1;1;10;4;
0.002;7500;7.5;N;1;1;10;4;
0.0035;7500;7.5;N;1;1;10;4;
-0.00036;-850;-0.85;NL;1;1;10;2;
-0.00028;-850;-0.85;NL;1;1;10;2;
-0.000177;-510;-0.51;NL;1;1;10;2;
0;0;0;NL;1;1;10;5;
0.001563158;4500;4.5;NL;1;1;10;5;
0.004;7500;7.5;NL;1;1;10;5;
0.0056;7500;7.5;NL;1;1;10;5;
-0.00015;-504;-0.504;C;2;1;10;2;
-0.0001;-504;-0.504;C;2;1;10;2;
-0.0000159;-302;-0.302;C;2;1;10;2;
0;0;0;C;2;1;10;1;
0.000171;3240;3.24;C;2;1;10;1;
0.002;5400;5.4;C;2;1;10;1;
0.0035;5400;5.4;C;2;1;10;1;
-0.00031;-454;-0.454;CL;2;1;10;2;
-0.00024;-454;-0.454;CL;2;1;10;2;
-0.0000702;-272;-0.272;CL;2;1;10;2;
0;0;0;CL;2;1;10;3;
0.000752;2916;2.92;CL;2;1;10;3;
0.0034;4860;4.86;CL;2;1;10;3;
0.0048;4860;4.86;CL;2;1;10;3;
-0.00015;-850;-0.85;N;2;1;10;2;
-0.0001;-850;-0.85;N;2;1;10;2;
